2025-05-14 12:47:30,259 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: uyar | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:47:58,196 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:47:58,196 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: FAILED
2025-05-14 12:48:07,137 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 60] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:07,988 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zaman | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>, 60] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:10,068 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: yasakla | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:11,343 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: yasakla | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:15,514 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: yasakkaldir | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:16,701 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: yasakkaldir | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
2025-05-14 12:48:20,666 - commands - INFO - USER: eonjinwoo (992110844886396978) | CMD: zamankaldir | ARGS: [<Member id=614559782355075083 name='leoleshea_sw' global_name='Leoleshea' bot=False nick=None guild=<Guild id=1253037947247267930 name='« Lunaris »' shard_id=0 chunked=True member_count=102>>] | GUILD: « Lunaris » (1253037947247267930) | CHANNEL: #bot (1357419585678086195) | STATUS: SUCCESS
